ลำดับ,common_name_th,scientific_name,family
153,ละมุดเขมร,Pouteria campechiana (Kunth) Baehni,SAPOTACEAE
154,ลั่นทมแดง,Plumeria rubra L.,APOCYNACEAE
155,ลิ้นกระบือ,Excoecaria cochinchinensis Lour. var. cochinchinensis,EUPHORBIACEAE
156,ลำไย,Dimocarpus longan Lour. var. longan,SAPINDACEAE
157,เล็บมือนาง,Combretum indicum (L.) De Filipps,COMBRETACEAE
158,ว่านธรณีสาร,Phyllanthus pulcher Wall. ex Müll. Arg.,PHYLLANTHACEAE
159,ว่านเพชรหึง,Grammatophyllum speciosum Blume,ORCHIDACEAE
160,สนประดิพัทธ์,Casuarina junghuhniana Miq.,CASUARINACEAE
161,สนมังกร,Juniperus Chinensis L.,CUPPRESSACEAE
162,สบู่ดำ,Jatropha curcas L.,EUPHORBIACEAE
163,ส้มจี๊ด,Citrus japonica Thunb.,RUTACEAE
164,ส้มโอ,Citrus maxima (Burm.) Merr.,RUTACEAE
165,สัก,Tectona grandis L. f.,LAMIACEAE
166,สะเดา,Azadirachta indica A. Juss.,MELIACEAE
167,สัตบรรณ,Alstonia scholaris (L.) R. Br.,APOCYNACEAE
168,สารภี,Mammea siamensis (Miq.) T. Anderson,CALOPHYLLACEAE
169,สาละลังกา,Couroupita guianensis Aubl.,LECYTHIDACEAE
170,ปาล์มสิบสองปันนา,phoenix roebelenii O'Brien,ARECACEAE
171,เสลา,Lagerstroemia loudonii Teijsm. & Binn.,LYTHRACEAE
172,แสงจันทร์,Pisonia grandis R. Br.,NYCTAGINACEAE
173,ศรีตรัง,Jacaranda obtusifolia Bonpl.,BIGNONIACEAE
174,หนวดปลาหมึกแคระ,Schefflera arboricola (Hayata) Hayata cv. Compacta,ARALIACEAE
175,หนามแดง,Carissa carandas L.,APOCYNACEAE
176,หม่อน,Morus alba L.,MORACEAE
177,หว้า,Syzygium cumini (L.) Skeels,MYRTACEAE
178,หมากเขียว,Ptychosperma Ptychosperma (R. Br.) Blume,ARECACEAE
179,หมากนวล,Adonidia merrillii (Becc.) Becc.,ARECACEAE
180,หมากเหลือง,Dypsis lutescens (H. Wendl.) Beentje & J. Dransf.,ARECACEAE
181,หางนกยูงฝรั่ง,Delonix regia (Bojer ex Hook.) Raf.,FABACEAE
182,หูกระจง,Terminalia ivorensis A. Chev.,COMBRETACEAE
183,หูกวาง,Terminalia catappa L.,COMBRETACEAE
184,หูปลาช่อน,Acalypha hispida Burm. f.,EUPHORBIACEAE
185,เหรียง,Parkia timoriana (DC.) Merr.,FABACEAE
186,เหลืองปรีดียาธร,Roseodendron donnell-smithii (Rose) Miranda,BIGNONIACEAE
187,อรพิม,Lysiphyllum winitii (Craib) de Wit,FABACEAE
188,อากาเว่,Agave spp.,ASPARAGACEAE
189,อินทนิล,Lagerstroemia speciosa (L.) Pers.,LYTHRACEAE
190,อินทผลัม,Phoenix dactylifera L.,ARECACEAE
191,อโศกเซนคาเบรียล,Monoon longifolium (Sonn.) B. Xue & R. M. K. Saunders,ANNONACEAE
192,เฮลิโคเนีย,Heliconia rostrata Ruiz. & Pav.,HELICONIACEAE
